科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
生物化學科,以蛋白質體學方法鑑定人類肝癌細胞經蕾莎瓦治療之預後的潛力生物標記,肝癌,生物標記,蕾莎瓦,肝癌是死亡率極高的癌症。目前並無非侵入性方法判斷標靶藥物治療效果。蕾莎瓦(Sorafenib)是一種使用於肝癌晚期治療的標靶藥物，但有些病患在治療過程中會出現抗藥性，因此可預測蕾莎瓦治療效果的生物標記相當重要。 血液中的生物標記可及時追蹤疾病進展與預後之評估。本實驗利用質譜法鑑定分析在肝癌細胞(HuH7)中加入蕾莎瓦模擬治療後肝癌的分子機轉，並透過生物資訊軟體了解蛋白質在HuH7細胞中所扮演的角色。我們發現Galectin-3 和HMGB1可能參與腫瘤細胞的增生和遷移，以西方墨點法觀察其表現量，發現Galectin-3 和HMGB1在受到藥物處理後，表現量皆有下降的情形。 蕾莎瓦可抑制B-RAF激酶進而阻斷MAPK pathway。MAPK pathway又可分成ERKs、JNKs和p38/SAPKs三類。為確認Galectin-3之訊息傳遞路徑，將蕾莎瓦和ERK抑制劑處理細胞，發現Galectin-3的表現量隨著時間而下降，證實Galectin-3的表現會受到ERK路徑調控。 Galectin-3與 HMGB1是極具潛力的生物標記可應用於蕾莎瓦的治療，希望這些生物標記可以應用在臨床上。
植物學科,粟之高禾─探討小米不為人知的耐鹽機密,小米,逆境,耐鹽,隨著全球氣候變遷，能在極端環境下生存的作物，是未來農業的救命藥。原住民種植的小米，具有在嚴苛環境下生長的特性。比較小米和水稻在鹽逆境的生長狀況，發現小米的根長、葉長及側根生長狀況都比水稻來的好，且小米具有花青素累積的現象。氣孔方面，小米在0.15%鹽濃度就能關閉氣孔，水稻則需到0.3%鹽濃度才會關閉。透過生化分析，發現小米在鹽逆境下抗氧化酵素與澱粉酶的活性皆比水稻高，此外小米亦能在鹽逆境下累積較多的脯胺酸與維他命 C，藉此提升小米的耐鹽能力。我們另比較小米與水稻對於淹水逆境的耐受性，結果顯示水稻在淹水逆境下地上部與地下部的生長狀況皆比小米佳，而淹水三天的小米仍無法在植株內累積脯胺酸來對抗淹水逆境，但外加脯胺酸卻能有效提升小米耐淹能力，另外水稻能透過形成通氣組織來增加淹水逆下根部的氣體交換，並能透過外加鈣離子來增加通氣組織的面積，但在小米則無此機制。透過實驗能讓我們了解作物抵抗逆境機制的優劣，期待未來能將結果運用於氣候變遷下的作物育種，造福全人類。
植物學科,文心蘭LhPRS基因參與花被發育調控之功能分析,文心蘭,PRS基因,花被發育,為了找出調控蘭花花瓣與唇瓣分化的基因，本研究分析文心蘭品系檸檬文心花瓣與唇瓣轉錄體之次世代高通量定序資料庫，篩選出一PRESSED FLOWER (PRS) 同源基因，命名為LhPRS。為了驗證 LhPRS 基因於花被之表現量，透過qRT-PCR 分析，顯示LhPRS 基因表現量集中在唇瓣，而在花萼與花瓣表現量較低，推測LhPRS對調控唇瓣發育有其重要性。為了進行後續基因功能性的分析，自唇瓣的cDNA選殖出LhPRS之編碼區序列，包含606個鹼基對，可轉譯出201個胺基酸。透過兩種不同系統之病毒誘導基因靜默技術，分析LhPRS基因表現被抑制時對文心蘭花朵發育之影響。結果發現當LhPRS基因在唇瓣表現量受到明顯抑制時，將使文心蘭花朵唇瓣形態產生變異而失去兩側對稱性，顯示LhPRS基因具有調控文心蘭唇瓣形態的分化並維持花被生長對稱性的功能。此研究發現將有助於應用在蘭花產業對花型調控與改造的需求上。
植物學科,新興汙染物銦對阿拉伯芥生長之影響 ,阿拉伯芥,銦,X光吸收光譜,銦之化合物常被應用於半導體產業當中，隨著使用量的增加也提高銦污染流佈於環境的風險，若此污染物流布至土壤並累積於植物體內，則可能通過食物鏈而影響人體的健康。現今國內外鮮少有銦對植物影響的相關研究，因此本研究以培養基試驗，探討銦對模式植物阿拉伯芥生長之影響。結果顯示，當銦處理濃度為500 µM時，其生質量以及根長會受到抑制。MDA含量的增加，顯示銦會對阿拉伯芥造成氧化逆境，而穀胱甘肽與金屬螯合素並非阿拉伯芥在銦逆境下主要的抗氧化機制。本研究亦發現銦處理下會影響對錳、鉀、鈉、磷、鐵、錳、銅以及鋅的吸收。此外，X光吸收光譜分析顯示根部以及地上部中銦物種有明顯組成上的差異。於根部有42.9%的銦是以吸附於細胞壁的形式存在，這可視為植物對重金屬所採取「隔離」策略的防禦方式之一。
植物學科,利用混沌系統偵測植物覺知人體之反應,植物電容,混沌系統,蔡氏電路,本研究證明用手觸摸植物或土壤時，會造成處於混沌狀態的蔡氏電路發生電位相圖的改變，經由微調並聯在模擬線路電源端的可變電容來比對相變過程，可以測量到非常微小的等效電容變化量。不同於傳統透過改變電阻來實現混沌行為的方法，證實本研究假設確實存在且具應用價值。 我們透過改變電極接點、電路初始狀態、人體靠近或觸摸不同部位等方式，探討兩種植物因微擾所產生的相變。結果發現微擾植物與其棲地時會產生「混沌制抑」的現象，整體系統的電容變動範圍界於0到100pF之間。更重要的是，本方法還可以偵測到微擾遠端植物時經根系及土壤同步產生的電容變化訊號，這是一般電容計所感測不到的。 利用混沌行為的特性，可以應用於偵測與分析生物體或宇宙間微弱且複雜的訊號，不需經由訊號轉換或放大等的處理程序，是本研究的重大發現，未來極具發展潛力。
植物學科,阿拉伯芥茉莉酸結合酶FIN219參與生物韻律變化之研究,FIN219,生物韻律,茉莉酸,生物韻律與植物許多生長過程息息相關，其機制是生物學中重要的研究主題。FIN219能夠活化茉莉酸，進而引發植物對於逆境的防禦能力，也參與了藍光的訊息傳遞鏈，與植物的開花有關聯，其表現在長日照環境下也具有以24小時為週期的變化，因此很有可能參與了生物韻律的調控。本研究以GUS染色、西方墨點法與RT-PCR進行實驗，發現阿拉伯芥的FIN219基因與其蛋白質進入照光期後表現量會增加，進入黑暗期則會減少，此生物韻律也會受到外加JA與JA合成抑制劑DIECA的影響。再以RT-PCR比較生物韻律相關基因在野生種與剔除FIN219基因的突變株中的表現，也發現FIN219基因沒有表現時，相關基因TIC、TOC1、CAB2、CAB3、RBCS-1A和JAZ1表現的生物韻律會減弱。因此可知FIN219不但能夠增進植物的防禦能力，其引發的訊息傳遞也參與了生物韻律的調控機制。
微生物學科,迪化汙水處理廠降解雌激素之菌種純化,雌激素,迪化汙水處理廠,,雌激素為一種固醇類的環境賀爾蒙，若水生動物長時間暴露於低濃度的雌激素中，即會導致其生理及行為異常。我們企圖從迪化汙水處理廠中分離純化出能有效降解雌激素之菌株，希冀了解這些菌株的生理特性與降解雌激素的能力。首先在活性污泥中加入高濃度雌二醇(1mM)，以增進雌激素降解菌在菌群中的比例，接著利用十倍序列稀釋進行菌株純化。培養期間以薄層層析檢測雌激素降解活性。隨後以固態培養基培養法取得單一菌落，並進行聚合酶連鎖反應及核酸定序。之後我們亦將純化出之菌株進行其他固醇降解測定。目前純化出一株Novosphingobium屬的變形菌，其為一新的菌種，確實能降解雌二醇及其他固醇，包含雌酮、雄烯二酮、膽酸、孕酮和睪酮。然而，其並不能降解乙炔雌二醇。該菌株具有修復受汙染環境及製備雌激素相關藥品之應用潛力。
微生物學科,除油利器，天然的最好 --環境中具降解油汙能力之微生物研究,嗜油菌,降解,油汙,目前研究的嗜油菌主要是分解石油(碳氫化合物)，不過從生活中所排出的油(三酸甘油酯)，也是一大污染源。本研究目的為篩選可分解三酸甘油酯之微生物，並探討其特性及降解油污的能力。從有油污的環境分離出三種對於日常生活中的油污具降解效果的菌株，利用16S ribosomal RNA gene進行菌種分析鑑定為Ralstonia sp.TFD41、Pseudomonas putida strain II-B、Sphingomonas sp.NC110。Ralstonia sp.TFD41較佳的生長環境為30℃、pH8，偏鹼，革蘭氏陰性菌；Pseudomonas putida strain II-B較佳的生長環境為30℃、pH6-10，偏鹼，革蘭氏陰性菌；Sphingomonas sp. NC110最佳生長環境為30℃、pH4-8，偏酸，革蘭氏陰性菌。而菌種在炸時越長的油中生長情形越差。而在家庭污水中的生長菌數最多的為Sphingomonas sp.NC110M。放入1000ppm油的培養基中，以Sphingomonas sp.NC110的降解油污的能力為最佳、Ralstonia sp.TFD41的降解速度最快。在家庭汙水中Ralstonia sp.TFD41 + Pseudomonas putida strain II-B的生長狀況最穩定。未來預期能培養嗜油菌，將其放回環境中，降解環境中的油汙，以減少油汙對於環境的汙染，還給生物乾淨的生活環境。
醫學與健康科學科,幾丁寡醣對藍光LED造成視網膜色素上皮細胞傷害的保護作用,視網膜色素上皮細胞,藍光,轉錄因子,"3C 產品及LED燈多以藍光照明，長期照射易導致視網膜黃斑部病變。其作用機轉是藍光引起視網膜細胞過氧化物質 (ROS)增加，造成細胞的氧化壓力進而引發細胞凋亡。幾丁寡醣 (Chitosan oligosaccharides, COS) 藉由減少自由基產生和抑制轉錄因子NF-κB傳導路徑而有抗氧化及抗凋亡的作用。 本研究以ARPE-19細胞株，在添加不同濃度的COS下，經照射LED藍光處理後，分析色素上皮細胞活性、ROS表現量及細胞凋亡情形，並透過PCR、西方墨點法、JC-1及免疫螢光染色分析作用機轉。實驗證實COS能抑制過氧化物質 (ROS)的產生，減少視網膜色素上皮細胞因藍光所造成的細胞凋亡。PCR和西方墨點法的結果顯示COS可以抑制發炎介質HO-1、iNOS、Caspase-3、Bcl-2、ERK，及基因iNOS、MCP-1的產生。免疫螢光染色顯示COS能抑制NF-kB核易位。總結來說，COS能藉由抑制NF-kB的活性，減少其下游基因的表現量，降低細胞氧化壓力和發炎反應來避免視網膜色素上皮細胞損傷。COS在臨床上有潛力成為一種預防LED藍光造成視網膜傷害的有效保健食品。"
醫學與健康科學科,葉酸缺乏及葉酸補充調控乳癌細胞轉化成癌幹細胞並促進體外腫瘤形成,葉酸缺乏及補充,乳癌幹細胞,腫瘤球生長,研究指出葉酸營養狀態與乳癌的風險有相互關聯且癌幹細胞是扮演癌症轉移的主要角色。葉酸缺乏和葉酸補充皆能促進癌細胞的轉移。本研究探討葉酸營養不良和葉酸補充是否會促進乳腺癌細胞轉變成癌幹細胞，將乳癌細胞株養於正常葉酸、低葉酸和高葉酸中，藉以模仿癌症病人的葉酸營養狀態。細胞在每個葉酸濃度中培養2、 4 、 8 天後再培養於腫瘤球體培養液中並測量四種幹細胞標記-mTOR，SHH，Sox2和Nanog。結果顯示:低葉酸會導致癌細胞的生長停滯，藉由標記的表達增加顯示長期低葉酸會促進細胞轉變成癌幹細胞。於腫瘤球體培養液時，低葉酸組亦較對照組於體外產生較大及較多的腫瘤球。高葉酸組會加速癌細胞的增殖和向癌幹細胞的轉變且細胞增生較快並表達較多的標記，其腫瘤球體亦是最大和豐富的。總之，低葉酸和高葉酸都增強了乳腺癌細胞的腫瘤生成和轉變成癌幹細胞。
醫學與健康科學科,探討rVP1在肺癌細胞上Integrin路徑及Wnt/β-catenin路徑的作用機制,rVP1,Integrin路徑,Wnt/β-catenin路徑,經基因重組技術純化的口蹄疫病毒鞘蛋白rVP1被證實在癌細胞內會經由Integrin 路徑對癌細胞的轉移及凋亡產生影響。本研究所探討的是rVP1對肺癌幹細胞H1299及肺癌細胞A549中Integrin路徑與Wnt/β-catenin路徑的作用機制，目的除了要了解兩路徑在肺癌細胞中的影響，也希望能找出兩路徑的交互作用機制。 本研究發現肺癌幹細胞H1299中β-catenin會因加入rVP1而表現量下降，與肺癌細胞不同；肺癌細胞A549中Wnt/β-catenin 路徑上游的膜上受體Frizzled-8 因 rVP1 作用而表現量下降；而不論在肺癌幹細胞H1299及肺癌細胞A549 中Grb2都不會因rVP1作用而表現量有所改變；Wnt/β-catenin 路徑下游產物MIG-7則會因加入Wnt3a ligand而表現量下降。  由實驗結果推測癌症幹細胞本身與癌細胞特性不同，可能使得Wnt/β-catenin路徑產生的效果不同；Grb2的變化量則需要更多實驗求證。Integrin路徑會影響到Wnt/β-catenin 路徑的上游生成，兩者確實有相互影響。
醫學與健康科學科,魚腥草對攝護腺癌及胰臟癌之影響,魚腥草,癌症,蛋白酶,治療癌症通常以化學治療為大宗，但化療會帶來副作用，因此目前研究以溫和草藥來取代化療。在治療癌症時，癌症轉移會使病人存活率下降，因此如果找到能抑制癌症轉移的藥物，就能提高病人的存活率，而在癌症轉移機制中，癌細胞要轉移時會分泌蛋白酶，降解基底膜和細胞外間質，使癌細胞轉移出原位組織。本研究聚焦於魚腥草是否能抑制攝護腺癌細胞及胰臟癌細胞侵襲其他組織、降低基質金屬蛋白酶(matrix metalloproteinase;以下簡稱MMP)的基因量及活性及降低細胞中尿激酶型纖溶酶原激活劑(urokinase plasminogen activator ;以下簡稱uPA)表現量。根據實驗結果，魚腥草可能藉由降低MMP的基因量以抑制攝護腺癌細胞的侵襲能力及遷移能力，但抑制胰臟癌細胞MMP的活性不是藉由降低MMP的基因量，且魚腥草並不會降低兩種癌細胞的uPA表現量，但由於先前加了HCE的癌細胞轉移能力下降，因此我們認為魚腥草在不影響癌細胞的生長下，仍然可抑制兩種癌細胞的轉移能力。
醫學與健康科學科,以線蟲動物模式評估漸凍人症之運動障礙,漸凍人症,線蟲,BLMP-1,本研究探討TDP-43 突變之漸凍人症(ALS)線蟲模式中的BLMP-1與其運動障礙之間的關係。在ALS患者的運動神經元內，Fas 訊息途徑活化之ASK1激酶被證實會導致軸突運輸障礙。在長壽漿細胞中，有研究發現BLIMP1可調控ASK1之表現。因此，本研究推測在TDP-43突變線蟲運動神經元中，BLMP-1(人類BLIMP1之同源蛋白質)會降低NSY-1(人類ASK1之同源蛋白質)表現，間接證明提升BLMP-1量有助改善癱瘓症狀。 本研究藉降低NSY-1表現的方式，分析線蟲之癱瘓程度與運動動能驗證Fas訊息途徑在線蟲中亦對運動功能障礙有顯著促進，確認其作為本研究模式生物之合理性。此外，將其側腹神經索中的BLMP-1表現量下降，發現其運動功能急遽惡化。最後將兩基因之表現量下降，則運動功能改善。 本研究首度證實線蟲之BLMP-1能有效的阻礙NSY-1所造成之運動障礙，且降低BLMP-1表達量會加劇其癱瘓症狀。此研究之發現對SOD1突變引起的ALS治療提供一個新研究方向及治癒的可能性。
工程學科,紙電路印刷機研發及其運用於教學之可行性分析,印刷,影像處理,紙電路,本研究為紙電路印刷機之研發，我們將紙當成電路板的基材，以銅箔與銀箔為佈線的導電材料，透過自行開發的機台研究銅箔與銀箔在製作時，所需的時間、溫度、壓力、印刷電路完成度、耐流值與耐熱值等因素，來驗證我們研發的紙電路印刷機適合用於學校實習課程教學，培養學生LAYOUT的能力，同時也在獲得數值曲線的關係式之後，再加以製作更大作業面積的機台，以期能製作出更大的電路，而整個研究除了自行開發儀器及數據驗證外，亦可以把學生實習課程融入環境保護的概念以及文創商品整合的知識。
工程學科,電場中的小晶靈 -高電壓電場中液滴的結晶現象,電場,結晶,液滴,"本研究設計相機-顯微鏡-玻璃座平行銅片電場裝置，拍攝鹽類液滴在高電壓電場中的結晶現象，並以色階曲線為基礎,發展出SCL值,來偵測晶體表面的性質。實驗先找到能讓晶體成長趨向單顆且高透明的條件為：加蓋（低蒸發速率）、過濾、無施加電場與低熱LED光源。並應用蒸發速率差異，發現食鹽晶體的變速成長現象。蒸發快會形成階梯螺旋紋，蒸發慢，紋路消失，變成全透明晶體。將這裝置轉放在高電壓電場下可發現：晶體形狀發生改變（晶體傾斜或碎晶），透光度變差（SCL值變小），可觀察到新生晶體邊緣，有條狀暗紋出現，但晶體成長速率變化不大。鹽晶析出反應會因些微的外在變化，而影響溶液中離子堆疊，在晶體表面出現陰影或不規則紋路。這種對外在環境有著高度反應的現象，可以透過反應位能曲線圖來解釋，正可以用來研究外界高壓電場如何對物質發生影響。"
工程學科,主動式車門安全開啟裝置,車門安全開啟,主動式,阻尼器,根據我國警政署統計，現今由於汽車駕駛人或乘客因為開車門不慎而導致的車禍致傷或致死的悲慘案例幾乎天天都在發生，嚴重影響了道路行車安全，更造成寶貴人命的無謂損失以及社會成本的慘痛付出。本研究主要目的係針對防止此類車禍一再發生，利用超音波測距模組、Arduino 晶片模組做為處理系統，除現有閃燈、蜂鳴等被動裝置外，加上了主動式阻尼制動器，主動防止車門在機車騎士經過時被推開，以達到避免這種意外一再發生的效益。本研究發現採用傳統液壓式阻尼器成效良好，但是近一步改採磁性流體填充之阻尼器之成效仍有待改進。
工程學科,獵能系統與整流天線,獵能系統,整流天線,電波產能,從資訊革命後，為了使資訊更快速地傳遞，無線電波已成為我們生活上無法割捨的一部分。無論身處何處，我們日常生活已被無線區域網路(WLAN)、廣播以及蜂巢式行動通信基地台(Cell site)，甚至包括變壓器和日光燈管等所釋放各種各式波段及能量的無線電波包圍，但由於這些電波並非無時無刻地在通訊，以及基地台並非隨時都處於高負載狀態，加上其服務對象可能僅處於基地台覆蓋範圍之某一區域，因此無法被完全地利用，而損失了需多能量。有鑑於此，我們希望設計一組結合天線及整流器之整流天線(Rectenna -rectifying antenna)為主體之獵能系統(Energy Harvesting System)，以環境中的電磁波訊號作為我們獵能的目標，收集未被利用之電波後轉換為直流電(DC)。目前實驗初步成果對於環境中之無線電獵能平均電壓可達474毫伏，最高峰可達1330毫伏。未來可應用於擁有低功耗特點之物聯網(IOT)裝置上，在顧及環保節能的同時，達到自我供電的目的。
工程學科,行動工具鼠,滑鼠,測距器,APP,滑鼠的問世是電腦史上的重大發展，其關鍵設計是以編解碼技術與影像辨識技術，來判斷滑鼠的移動與方向。本作品「行動工具鼠」的最初設計構想是利用滑鼠滾輪滾動的編碼機構與技術，應用圓周運動相對於距離移動的概念，再將滑鼠滾輪的圓周長，乘以滑鼠滾輪轉動圈數，即可得知滾動的距離；若再以單位時間，除以當下所移動的距離，即可得知即時的移動速度。作品更新版，第二代的設計策略，是利用滑鼠內光學鏡頭IC，以非接觸的方式來偵測滑鼠移動的距離。目前最新的設計，是以無線滑鼠，接上手持式行動裝置，搭配自行設計的APP程式，以相對滑鼠移動的概念，來偵測滑鼠的移動方向，以及滑鼠移動軌跡的座標變化量，即可得知滑鼠實際的移動的距離。以此設計與應用，可以完全取代市售測距輪的所有功能，成為日常生活中便利且實用的好工具。
工程學科,使用機械手臂實現黑白棋之人機對弈,黑白棋,機械手臂,人工智慧,由工業分析棋4.0智慧生產的啟發，建構機械手臂進行人工智慧黑白棋之對弈系統，透過視訊面資料，輸入人工智慧黑白棋遊戲判斷。依據結果指揮機械手臂進行落子、取子的動作，人機對奕過程亦會判斷有無不合理的地方，以維持棋奕的規則公平。擷取雲端攝影機的盤面影像，使用霍夫找圓演算法取得棋目位置，透過彩度與明度分析黑子、白子或無子，黑白棋AI程式再透過遊戲樹演算決定落子、取子位置。透過畢氏定理及餘弦定理將棋子位置的立體座標轉成工具座標，再傳送至主控伺服器以指揮機械手臂進行正確的動作。透過減輕重量及使用彈力平衡力矩改善，機械手臂可改善硬體準確度，重現率測試達AI程式棋力可以與黑白棋app的3 85%以上。黑白棋級力敵。視訊判斷棋局在調整適當彩度明度後可達正確率。透過演算法指揮機器手臂下棋，棋局中完成正確動作可達80% 100%以上的成功率。
