科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
數學科,等差指標的探討,等差指標,等差數列,史丹利數列,在國中及高一的數學課程當中，我們都學過「等差數列」這個單元，而本文的研究著重於在某些限制條件下等差數列的產生時機。在本篇報告中，我們從給定整數範圍(如：從0到𝑛)的條件下出發，去探索在給定的範圍當中至少要加進去多少正整數才能確保其中存在三個數字成等差，進而定義等差指標等概念。我們研究了各個數字𝑛的等差指標，並找出其關係，進而延伸出相關的不等式，然後進行推論。最後，我們藉由發現了一些規律得到了一些可增進最小等差指標的估計，我們大略估計了其上下界，並嘗試往探討不存在三正整數成等差數列的自然數集合密度去做發展，用集合密度的角度去切入討論，以幫助我們的估計和定理推導。
數學科,特殊定向圖的歐拉子圖數量及其應用,Wheel,定向圖,費氏數列,將一個n個點的圈，中間新增一個點u，使得點u與圈上所有的點皆相連，這種特殊的圖類稱為Wheel，若n為奇數，則稱為奇數Wheel；若n為偶數，則稱為偶數Wheel。一個圖若賦予每條邊特定的方向性，稱為此圖的一個定向。對於Wheel這類的圖形設計一個特殊的定向，我們欲分析定向中特殊的有向子圖數量，過程中運用了許多的代數手法，從中發現奇數Wheel與費氏數列的關連性以及組合性質；同時也將研究問題延伸至Chebyshev第二類多項式，運用高等數學中的Girard-Waring Formula來論證我們對偶數Wheel的研究結果。然而圖的定向是研究列表著色的工具之一，我們也將這個特殊定向的組合性質運用在列表著色問題上。對於一般的圖形，若在原圖上新增一條路徑，我們也探討了新圖形為可列表著色的充分條件。
數學科,等比例線段下保角圖形之特徵探討,保角性,動點軌跡,曲面,本研究由文獻[1]的一道題目進行發想。題目是給定正方形ABCD，E在AB上，E在BC上，且BECE=。若DE交對角線AC於P且DE交對角線AC於Q，則存在點R，使得APPR=，CQQR=，則60PRQ=。我們改變正方形這個條件，考慮等長線段的特徵，再推廣到菱形。並在矩形與平行四邊形中，將「等長線段」這個條件改為「等比例線段」討論其保角特徵。最後將上述性質推廣到空間中的正方形、菱形、矩形與平行四邊形。 我們證明不論E點的位置在AB線段的何處，PRQ恆為60。我們也發現在平面上R點的可能位置有兩個，且滿足R點的軌跡正好是1 3圓弧，且此圓弧只與對角線長有關。在空間中，E點固定時，R點的位置在一個圓上，隨著E點在AB線段移動。此時R點軌跡是1 3圓弧繞此圓弧所在的弦旋轉360所在曲面，此曲面也只與對角線長有關。
數學科,多人循環賽局策略之研究,不等式,遞迴,賽局,三名弓箭手進行決鬥，每位參賽者輪流射擊一次，可自由選擇目標，參賽者一旦被射中即退出賽局，直到剩下一人。我們彙整賽局的特性，以樹狀圖判斷平衡策略，並以程式模擬得出各分支發生機率。 接著我們嘗試將研究延伸至四人以上的賽局，由於狀況過於複雜而 無法推導出勝率一般式，因此利用賽局的退化特性，歸納出n人賽局中 各參賽者勝率的遞迴式，並使用程式實作。分析程式演算法複雜度高達O(nn+2)，因此無法計算八人以上賽局，大量模擬也只能進行到六人以下，故本研究主要針對六人以下賽局進行實驗與推論。 在現實中，許多時候我們無法得知所有的資訊。使用程式模擬，便可得出在不完美資訊的狀況下，各參賽者策略出現的機率，並藉此得出不完美資訊下的最佳策略。
數學科,推廣圓冪定理及圓錐曲線內接四邊形判定定理之探討,推廣圓冪定理,圓錐曲線內接四邊形判定定理,圓錐曲線作圖,在歐氏幾何和射影幾何中，相異五點可決定一圓錐曲線。若給定任意四邊形，是由四邊形的四個頂點及異於此四頂點的第五點來決定圓錐曲線，則稱此四邊形為圓錐曲線内接四邊形。     圓冪定理是一個圓內接四邊形的幾何定理，包含相交弦定理、割線定理、切割線定理等三個定理，我們將圓冪定理推廣至圓錐曲線內接四邊形。首先由圓錐截痕推廣圓內兩交弦定理，是考慮兩垂直交弦，進而推導出圓冪定理推廣一式及區分圓錐曲線種類。接著利用圓錐曲線的方向直徑、邊或對角線斜率及平行邊的切線長推導出圓冪定理推廣二式、三式及四式，推廣式是採統一與歸納方式呈現。     其次，由解析幾何推導另一種圓冪定理推廣式(推廣五式)，加上圓錐曲線直徑性質，論證出二種圓錐曲線及其内接四邊形的作圖及其判定條件。最後也證明圓錐曲線內接四邊形判定定理及有趣的錐線中心軌跡圖形。
數學科,探討單位電阻排列有理數值,電阻,連分數,費氏數列,本研究在探討給定一有理數，如何用最少數量的一歐姆電阻串並聯使得等效電阻值為此有理數。首先我做出f函數的表格，利用程式找出分母分子較小時的值，並且依性質不同塗上各種顏色，觀察其中的規律，證明了一些定理，並找到電路圖與矩形的對應，再來是找到電阻排列一些數列的系統性構造，然後針對有理數分子和分母的特性，分析了費氏數、分母為2、3等等的情況的最小構造法，其中在分析分母為2、3等等的情況時，一開始使用了變換的概念證明，但變換過多次時會造成證明的繁複，因此後續提出了以幾何模型分割區域的概念證明，有效地提高到分母為4、5的情況，並且將證明過程擴充至所有正整數的情況，找到了f函數遞迴式的充分條件，最後計算連分數構造法的部分平均時，猜測出連分數構造法與正整數因數個數的關係。
數學科,2、3、4 進位Kaprekar變換的性質,Kaprekar,三進位,混沌,非負整數的各位數字重新排列後，由大到小減去由小到大的運算稱為Kaprekar運算。若原數和結果相等，則此數為Kaprekar常數。在此條件下，Kaprekar變換最終定會進入循環(包含循環節為1的情形)。本研究探討Kaprekar常數與循環的結構，以及其與混沌之間的關聯。          結果如下: (1)參考[1]和[4]中的一些數學符號，將二進位分為五類，得到二進位常數的形式和規律。 (2)在三進位時，我們利用𝑔(𝑥)來討論三進位的變換形式，得到能判斷其結構和循環節及數量的規則。 (3)𝑔(𝑥)有混沌的性徵，即在任何有理數區間中必有任意的𝑛-循環點，其中𝑛是任意正整數。  (4)關於四進位，我們發現將任意非負整數運算四次後必符合某一形式，且其結果與三進位有相似的結構。
化學科,摻鈀鹵氧化鉍奈米晶體光催化還原二氧化碳,鹵氧化鉍,光催化,二氧化碳還原,本研究將以BiOCl、BiOBr以及Pd/BiOCl的晶體製備二氧化碳還原之光觸媒，用以還原二氧化碳，期許能製造出具有經濟價值的還原產物，以緩解全球暖化並利用可再生能源。此外，我們藉由探討此類晶體在二氧化碳還原中的差異，比較加入不同鹵族元素及是否摻入鈀金屬對於光催化還原二氧化碳效率及產物的影響。 合成晶體後，我們透過X射線衍射儀(XRD)、掃描式電子顯微鏡(SEM)、能量散射X射線譜(EDX)進行晶體的鑑定，也確定Pd/BiOCl的晶體結構是以BiOCl為主體，且Pd鑲嵌在其表面。我們也以X光光電子能譜儀(XPS)了解晶體的鍵結型態及推測不同晶體表面的OVs相對含量，並以紫外光/可見光光譜儀(UV-vis)檢測樣品的能隙，推測其光催化性能。  我們發現摻入鈀的BiOCl晶體結構為分散的片狀結構，是三種晶體中唯一的奈米晶體，且能隙為三者中最小(2.46eV)、表面OVs含量也增加；表面附著的Pd奈米金屬顆粒更可以協助主催化劑的電子-電洞對維持分離狀態，促進其光催化效率。 最後我們將合成的BiOCl、BiOBr以及Pd/BiOCl晶體應用於光催化還原二氧化碳，並以氣相層析熱導偵測器(GC-TCD)及氣相層析質譜儀(GC-MS)檢測產物種類及產率，發現還原出的氣體產物有H2、CO、CH4。而總還原產物及含碳還原產物的產率皆以Pd/BiOCl為最高。
化學科,分子拓印修飾磁性奈米粒子萃取福壽螺卵中蝦紅素之探討,蝦紅素,分子拓印,福壽螺,本研究以二氯化鐵和三氯化鐵所合成之磁性奈米粒子為基底，包覆上以蝦紅素為模板修飾的二氧化矽，製作出具有蝦紅素專一性的磁性奈米粒子，應用於萃取福壽螺卵中之蝦紅素。利用干擾物證明磁性奈米萃取粒子具有蝦紅素的專一性，再探討奈條件的影響。福壽螺卵經過打碎離心後，依序加入0.2 M氫氧化鈉及米粒子合成及萃取1 mM鈉，使蝦紅素水解並去脫去蛋白質轉換為游離態。當模板濃度為0.0 5十二烷基硫酸9 mg/mL、TEOS 1.892 mg/mL和蝦紅素的濃度為0.07 mg/mL時，會有最佳的萃取率達60.7 %濃度為。此磁性奈米粒子在萃取步驟後，再以丙酮進行脫附，至少重複使用3次。此技術可減少福壽螺的農害，也極具經濟價值，很值得研究。
化學科,單分散原子電催化二氧化碳還原,單分散原子,二氧化碳還原,,近年來碳排放的淨零是全人類所想達成的共同目標，因此本研究以電催化劑幫助二氧化碳還原反應進行，降低反應所需電壓，同時提升產一氧化碳的法拉第效率。本研究一共嘗試兩種易於合成的材料作為催化劑前驅物，分別是沸石咪唑骨架和類石墨相氮化碳，搭配三種非貴金屬鐵、鈷、鎳配位合成催化劑。用X光繞射儀、掃描式電子顯微鏡以及能量色散X射線光譜儀鑑定結構後，使用氣相擴散電極搭配三電極系統，進行電解還原二氧化碳的反應，並使用氣象層析儀分析產物及計算其法拉第效率。根據實驗結果，發現以類石墨相氮化碳為前驅物的鎳催化劑有最佳的一氧化碳法拉第效率，在電壓約-0.5V時接近99%，超越以往文獻所即的效率，且具有高專一性及能源轉換率，成本低，可商業化量產。若配合使用非化石的綠色能源來電催化還原二氧化碳，必能達成碳零排放的目標。
化學科,探討有機分子官能基對胰島類澱粉蛋白(IAPP)之影響,香豆素,胰島類澱粉蛋白,第二型糖尿病,過去許多文獻報導胰島類澱粉蛋白(islet amyloid polypeptide；IAPP)在體內的不正常聚集的現象，會造成分泌此賀爾蒙的β-細胞凋亡，間接導致胰島素分泌的下降，因此被認為與第二型糖尿病有高度的相關性。本研究利用不同官能基之香豆素(Coumarin)衍生物，測試其對胰島類澱粉蛋白之作用；實驗中成功合成高純度IAPP胜肽，再與香豆素衍生物(其光學特性已被檢測)進行混合，爾後進行硫磺素-T動力學試驗及穿透式電子顯微鏡觀察，我們發現某幾個香豆素衍生物確實會影響IAPP的聚集，再藉由圓偏光二色性光譜進一步瞭解有機分子對於IAPP聚集結構之影響，也利用分子模擬的方法來探討其如何與IAPP作用。 本實驗首創以香豆素作為基本骨架，探討官能基結構與IAPP間之交互作用，期待此研究成果可提供第二型糖尿病病症治療之契機與方法。
化學科,多工奈米複合材料合成與其協同治療應用,光治療,化學動力療法,CuFe2O4奈米材料,"本研究結合奈米合成技術及生物醫學應用，以牛血清蛋白（BSA）為載體，裝載具化學動力療法的金屬氧化物（CuFe2O4, CFO）及具光治療功能的光敏劑（IR780），製備CFO@BSA-IR780多功能奈米複合材料。     材料鑑定方面由TEM、DLS與UV-Vis等儀器進行組成及光學性質分析。特性方面，CuFe2O4在腫瘤環境由芬頓反應，促使H2O2產生活性極高的氫氧自由基（•OH）。並且IR780在近紅外光照射下同時具光熱與光動力治療特性，可殺死癌細胞。同時CuFe2O4中的Fe3+ 和Cu2+ 進行氧化還原將腫瘤部位的穀胱甘肽（GSH）轉化成氧化型穀胱甘肽，強化化學動力療法及光動力治療效果。     最後，本研究將CFO@BSA-IR780奈米材料實際運用於细胞毒性測試與細胞螢光顯影，確認其效果及低毒性。成功發展出同時具備化學動力療法、光動力治療、光熱治療及細胞螢光顯影之多功能奈米複合材料，期許在醫學治療提供一項新興藥物材料。"
化學科,"透過相轉移催化劑合成Chromeno[4,3-b] pyrrolidine 之衍生物",相轉移催化劑,"Chromeno[4,3-b]pyrrolidine",(3+2)環加成反應,"本研究之反應產物Chromeno[4,3-b]pyrrolidine之衍生物含有吡咯烷及二氫苯并哌喃的骨架，而此二者存在於許多藥物及天然物中，例如：尼古丁及蛋白質中的脯胺酸皆為吡咯烷的衍生物，含有二氫苯并哌喃骨架的藥物則通常被應用於消炎藥物中。本研究主要反應是以對甲基苯醌衍生物與亞胺葉立德前驅物在相轉移催化劑及無機鹼的催化下進行(3+2)環加成反應與oxa-1,6-加成反應，合成出Chromeno[4,3-b]pyrrolidine之衍生物。利用改變不同的相轉移催化劑、溶劑和無機鹼的種類及各反應物的當量數，篩選出進行本反應的最佳反應條件。在此優化條件下，進一步使用不同的掌性相轉移催化劑，以探討本反應之光學活性。並利用無機鹼的篩選，以排除背景反應發生的可能性。希望最後能於起始物上替換不同種類的取代基，以探討本反應之反應活性，並增加其未來應用的多樣性。"
化學科,定義酚基反應性：芳香環醣基受體之醣基化反應立體選擇性的預測及探討,酚,醣基化反應,立體選擇性,酚與苄基醇在許多領域中，被廣泛地運用以及探討，其中一重要的應用是與醣苷結合後可做為人們所服用的抗生素。儘管如此科學家卻尚未能將醇類結構中羥基的反應性量化來進行分析，因為缺乏準確的芳醇反應性數值，造成芳醇的研究與應用較難以掌握。因此本篇主要在進行芳醇反應性的量化。兩醇以競爭的方式進行反應後，再經動力學的計算，得到其相對反應性數值。進而再透過改變芳香環上的取代基來探討共振效應、誘導效應和立體效應對芳醇反應性之影響，並且將醇類之反應性數值與大數據分析結合應用於醣化學中，以探討並解決醣基化反應中立體選擇性控制之問題。
化學科,超分子奈米粒子應用於基因治療,超分子奈米粒子,CRISPR/Cas9,基因治療,X染色體關聯性視網膜裂損症患者，在青少年時期會逐漸喪失視力，主要是因為RS1基因突變造成視網膜剝離，目前並沒有藥物達到有效的治療效果，即使最新研發的病毒載體基因療法也沒有效果，雖然在動物模型中具有良好的表現，但是在人體試驗中卻沒有獲得任何顯著的改善成果，推測是實驗模型不夠完善，在本實驗中，我們將會採用幹細胞分化成為視網膜類器官，並搭配上超分子奈米粒子運輸基因編輯材料送入，期許達到治療效果。本研究中以超分子奈米粒子(SMNP)將CRISPR/Cas9基因編輯系統及正常RS1基因共同運輸進入細胞來達成基因敲入的效果。我們篩選出兩個具有最佳傳遞性之超分子奈米粒子載體(Cas9/sgRNAplasmidSMNPs及Donor-RS1/GFP-plasmidSMNPs)並將其應用於細胞中，於其安全編輯位點(AAVS1  locus)實施基因敲入，接著以PCR及Sanger sequence檢測敲入基因的正確性，並施以免疫螢光法分析RS1蛋白表現。結果顯示在細胞當中，RS1/GFP基因成功敲入AAVS1位點中並能有效進行表現，因此我們進而測試該方法是否能應用於iPSC分化而成的人類視網膜類器官中，其也成功表現RS1/GFP 質體引發的綠色螢光蛋白(GFP)，效果也持續接近40天。總而言之，我們希望目前的研究結果可以作為未來開發遺傳性疾病基因治療法的藍圖，造福受疾病所困擾的病患。
化學科,銠金屬催化劑應用於不對稱環化與chain walking之研究,銠金屬催化劑,不對稱環化,chain walking,本研究使用實驗室自製的配基與銠金屬結合為催化劑後，在一次使用銠金屬催化劑下，同時催化烯炔類與苯硼酸進行加成、不對稱環化、chain walking、以及消去反應，在保持鏡像選擇性下獲得具有末端烯的產物。透過改變鹼的加入方式、催化劑的種類等變因，篩選適合的反應條件。  實驗結果顯示，銠金屬催化劑能催化烯炔類與苯硼酸進行不對稱環化反應，最高產率可達88%且e.e.值可達86%。未來希望能將此反應路徑應用於其他不對稱合成，使銠金屬催化劑的應用達到省時、高效的目的，有助於天然物和藥物的研究發展。
化學科,活化石海百合Comanthus parvicirrus所含化學物質探討,Comanthus parvicirru,海百合,抗發炎,"本研究針對臺灣恆春半島海域所採集的棘皮動物海百合小卷海齒花Comanthus parvicirrus進行天然物化合物之成分研究，分離獲得三個角型萘並吡喃酮類型天然化合物，包括一個新化合物8-hydroxy-5,6,9,10-tetramethoxy-2-methyl-4H-benzo[h]chromen-4-one (1)以及兩個已知化合物comaparvin (2)與6-methoxycomaparvin-5-methyl ether (3)。上述化合物結構是由核磁共振儀、紅外線光譜儀、紫外光可見光譜儀、x-ray光譜儀和質譜儀等數據，以及比對相關化合物的文獻來分析確認。 化合物1-3進行體外抗發炎活性測試，並且探討化合物對脂多糖 (lipopolysaccharide, LPS) 誘發的小鼠巨噬細胞 (RAW264.7) 所產生的發炎性蛋白質一氧化氮合成酶 (iNOS) 以及第二型環氧化酶 (COX-2)。"
動物學科,蚊幼蟲與搖蚊幼蟲在水中分布與其血紅蛋白基因表現之關係,蚊幼蟲,呼吸,血紅蛋白,蚊蟲呼吸透過氣管系統，本研究假設底棲孑孓與搖蚊幼蟲具備血紅蛋白系統以擷取氧氣。戶外採集8種孑孓和1種搖蚊幼蟲，錄影觀察白腹叢蚊、竹生翠蚊和鹽埕搖蚊幼蟲長時間停留底層；家蚊、斑蚊則反覆上下至水面呼吸。顯微鏡下發現白腹叢蚊幼蟲體壁內側充滿紅點，色澤隨著富氧或缺氧而變化；然二種斑蚊則不明顯。PCR增殖6種蚊蟲和1種搖蚊血紅蛋白基因片段並建構親緣關係樹。定量RT-PCR顯示，白腹叢蚊與鹽埕搖蚊在缺氧條件下，血紅蛋白相對表現量分別增加5倍和150倍，上層埃及斑蚊和白線斑蚊則增加3.9倍和1.5倍。西方墨點法證實孑孓缺氧條件下，17-kDa血紅蛋白皆有大量表現。本研究首次確定6種蚊蟲具血紅蛋白基因，證明孑孓血紅蛋白基因在缺氧下的表現量增加，包括mRNA與蛋白質。此等反應氣候變遷，暖化導致水溫升高與低溶氧條件下，蚊蟲可能有因應環境改變的呼吸機制。未來將進一步標幟血紅蛋白在蚊幼蟲體內組織之表現與其他環境變因之影響。
動物學科,Super「鼠」跑,高血壓,腦發炎,腦功能障礙,透過文獻探討已知高血壓會引起腦發炎，導致腦功能受損。研究結果也顯示運動能增進腦部功能。因此，在此實驗中，我們想要探討高血壓引起的腦發炎和功能退化等問題能否透過運動改善。將鼠分為 2K1C 手術誘發高血壓組(2K1C)及沒有高血壓(Sham)的對照組，並再各分為運動組(Sham-EX、2K1C-Ex)和不運動組(Sham、2K1C)。小鼠腦部切片中微小膠細胞數量顯示 2K1C 的小鼠組別腦發炎最為嚴重，且 HE 染色發現一樣為 2K1C 小鼠組別的神經細胞數目最少。接著我們以莫里斯水迷宮測試小鼠學習、記憶功能，結果 ShamEx 及 2K1C- Ex 尋獲平台時間皆有減少趨勢，而 2K1C 尋獲平台花費最長時間，顯示運動確實可以減緩高血壓造成的腦功能受損。
動物學科,水熊蟲於化學環境壓力耐受機制探討,大生熊蟲,化學環境壓力,模式生物,常見模式生物檢測化學環境壓力後無法重複使用。本研究探討對環境變化敏感的大生熊蟲抗化學環境壓力機制，評估其作為重複使用模式生物可行性。得知多數大生熊蟲於硝酸鹽、酸鹼值改變與殺蟲劑環境壓力下仍能活動或隱生。以亞甲藍簡易染色可確認化學環境壓力下大生熊蟲是否受傷害，如體表角質層被破壞會導致完全染色。分析大生熊蟲於常見硝酸鹽環境壓力下體內脂質含量、總蛋白質單體表現量與總抗氧化能力，推測出大生熊蟲對抗硝酸鹽環境壓力機制：1.藉由> 20 kDa持續性活化蛋白抗硝酸鹽環境壓力。2.活動大生熊蟲增加體內脂質含量隔絕環境硝酸鹽。3.隱生大生熊蟲以抗氧化系統降低硝酸鹽產生的氧化壓力傷害。以上結果得知大生熊蟲具潛能檢測常見化學環境壓力並作為重複檢測之模式生物。未來將持續評估大生熊蟲可檢測的化學環境壓力並為人類健康把關。
