科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
地球與環境科學科,1910~2010 年台灣附近板塊交界地帶地震能量觀察與比較,地震能量,地震預測,能量週期,我們分析 1910～2010 年琉球及呂宋弧溝系統規模 5.0 以上的地震發生次數與能量釋放，並探討其特性。經分析得知：(1)琉球系統地震發生次數及能量釋放變動不大。(2)將呂宋系統規模六地震大量發生的時間與規模七地震發生時間比對，發現 1951 及 1999年部分規模六地震為規模七地震之餘震。若加入上述兩年規模六地震，則規模六地震大量發生之平均週期約為 12 年。(3)琉球系統能量大量釋放的週期約為30 年，且其釋放的量越來越少。(4)呂宋系統大量釋放能量的週期約為十年。(5)百年來，琉球系統的地震發生次數較呂宋系統多，在能量上則反之，還需深究是否為兩系統地質結構不同導致。(6) 若前次能量高峰釋放能量特別大，則距下次能量釋放高峰時間間隔較平均週期長。
行為與社會科學科,情緒特工隊:表情知覺中異族效應的神經機制之探討,異族效應,面孔倒置效應,情緒辨識,異族效應可能是造成種族歧視的原因。本研究透過按鍵反應及腦波儀的形式，對本國人及高加索人兩族群進行受試。實驗中，我們給予受試者兩種族群、正反兩種方向和七種情緒的刺激材料，請受試者辨識情緒，受試完畢後再利用 ANOVA、EEG lab 等分析行為實驗數據及腦波圖。分析結果發現：按鍵反應方面，高加索人較會辨認情緒，也表現出較強的同理心；本國人對兩種族皆產生面部倒置效應、高加索人則僅對於本國人產生；高加索人判斷正臉情緒時會有異族效應，本國人判斷時則正反皆無。腦波儀方面，每一種情緒的異族效應是相似的，就腦內影響的區域而言，本國人面部倒反效應多由枕葉影響，高加索人則多由額葉影響，本國人異族效應由右腦影響，且僅出現在刺激後 150～200 毫秒，高加索人則未呈現異族效應。另外，異族效應與面部倒反效應間具有交互作用，於是在臉部辨識上的正反差異就會呈現不同結果。將上述結果進一層地推論，可得知異族效應是後天學習行為，而面部倒反效應則是受本能與後天學習共同影響而產生。期望本研究結果未來能運用在社會議題或心理學研究上，減少異族效應可能產生的負面影響。
行為與社會科學科,探討睡眠剝奪對青少年學習與記憶的影響－以小鼠為模式探討生理、心理與大腦變化,睡眠剝奪,青少年,學習能力,為探討青少年壓力對生活的影響，我們在網路上進行問卷調查，調查12~18 歲的青少年對自身所感受到的壓力所進行的自我評估。統整後，決定以青少年時期之小鼠作為模型，探討睡眠剝奪對青少年學習的影響，並討論男女差異。生理狀態方面得知睡眠剝奪會使體重成長較緩慢，且由曠野實驗發現睡眠剝奪不會大幅影響自主活動量。學習與記憶方面利用新奇事物測驗測量短期記憶，在公鼠身上可以看到睡眠剝奪會影響公鼠的短期記憶；母鼠在此實驗中控制組與操作組無顯著差異。長期記憶與空間記憶部分利用巴恩斯迷宮測試，發現性別間無顯著差異，各性別控制組與睡眠剝奪組間亦無顯著差異。
物理與天文學科,以奈米銦顆粒或鈉離子修飾竹子導電作為新型熱電材料之研究,竹子,熱電材料,奈米銦顆粒,熱電材料的條件為導熱差，電導率高的材料，此特性可將熱能轉換成電能，為一新興的再生能源。竹子生長快，為一導熱差的材質，但電導率低。本實驗將野生孟宗竹加工裁切，浸泡於飽和食鹽水加上奈米銦顆粒(73mg/ml)環境中，以高壓蒸氣(121℃、1.1 atm/cm2)處理40分鐘後測量處理前後其電阻變化、增加兩端溫度差及電壓改變的電流密度、增加溫度改變的電流，及熱導率等，並以複式顯微鏡觀察，確認奈米銦顆粒的確有進入竹子維管束內。實驗結果顯示，以飽和食鹽水及奈米銦顆粒高壓蒸氣法處理的竹片，相對於對照組，電導率上升了約1706倍，但熱擴散度只上升了約10%，熱電優值(Thermoelectric Figure of Merit) ZT為 0.059。本實驗方法有效提升竹子的電導率，證實竹子是一個有潛力的新興熱電材料。
物理與天文學科,材料的 1/1&1/3OCT 迴響時間測量與吸音研究,迴響時間,吸音率,OCT,本實驗利用自製的實驗裝置及自行推導的公式，推算出材料的吸音率。材料的吸音率，一般是送至專業的迴響實驗室測量（如：成大迴響實驗室），且單一樣品測試費用昂貴（每件樣品 4～6 萬元）。我們設計的實驗將迴響空間縮小，會遭遇到直傳音場影響大過反射音場的問題，因此利用合成音場公式將兩者分離，再利用均能音量及方向因子 Q，以及吸音率、室型常數 R 之間的關係，建立迴響時間的函數。複合材料運用範圍廣，但若要得知吸音率，又需花費一筆可觀費用。本實驗模組能快速、方便、經濟地得到各樣品（包含複合材料）的吸音率。同時由音頻分析可得知噪音的頻段，即可選擇最適合的材料進行裝修，達到最佳的吸音效果和最高的經濟效益。
物理與天文學科,自轉易導致 presupernova 階段 ? 探討恆星自轉於演化過程及最終狀態扮演之角色,恆星演化,自轉,MESA 理論模擬,自轉是塑造恆星演化的關鍵物理因素（A. Maeder et al. 2012），然而，在一些研究當中，模擬恆星演化仍會選擇忽略旋轉的影響（Pietrinferni et al. 2004），這開啟了我探討自轉在恆星演化扮演的角色之興趣，於是展開以下研究。MESA（Modules for Experiments in Stellar Astrophysics）為一專業天文物理界中普遍使用之電腦程式，能模擬各種恆星演化場景，本研究藉由 MESA 模擬不自轉至具自轉程差異之恆星演化模型，探討其演化過程之變化及最終狀態之差異。研究結果分析發現自轉混合導致不同殼層位置之元素有更好的對流性，因而產生較好之化學同質性質 (Chemical Homogeneous)，而自轉效應在驅使恆星進入 presupernova 階段亦有一定程度的重要性。
物理與天文學科,波濤洶湧的玻璃杯—玻璃杯共振之研究,共振,駐波,傅立葉轉換,一個裝有水的玻璃杯，用喇叭撥出大聲的聲音，便能觀察到共振的現象發生，玻璃杯將會不停的震動，甚至導致破裂。本研究將會藉由傅立葉轉換(Fourier transform)來分析玻璃杯的振動的本徵頻率，並進一步探討頻譜的峰值。另外我們也研究了不同水位的高低以及液體密度對於共振頻率的影響，並以能量守恆的觀點進一步推導出玻璃杯的震動方程式。最後我們也近一步討論 higher harmonic，並且發現 non-linear dispersion relation 的現象，有別於我們對於 f∝n 的觀念。
物理與天文學科,直接觀測表面修飾之氧化石墨烯對改善抗血栓性能之研究,氧化石墨烯,微流道,表面物理,臨床上，人工血管與心血管支架常因血栓導致其使用壽命減短，甚至造成病人生命危險，而血栓起因乃為血小板活化。氧化石墨烯為新穎二維材料，其於醫學方面的應用也極具潛力。本研究藉由微流道觀測系統，透過光學顯微鏡直接觀測氧化石墨烯表面與血小板間之交互作用，再進一步使用紫外光還原氧化石墨烯表面，並使用原子力顯微鏡(AFM)、X光光電子能譜儀(XPS)、凱爾文探測力顯微鏡(Kelvin Probe)等檢測氧化石墨烯表面性質。經實驗證實，鍍有氧化石墨烯之表面在流動狀態下，可有效地減少血小板的活化與貼附，並推測因氧化石墨烯表面帶有負電荷，可排斥同帶負電荷之血小板，以達到減少血栓生成的目的，未來可進一步應用在人工心血管支架上，延長其使用壽命。此研究突顯了改善人工血管與支架表面性質與其臨床上應用的重要性，而材料表面修飾也為優化臨床應用提供一個可行方法。
物理與天文學科,簡易方法測量電遷移率,電遷移率,漩渦偶極子,奈米氣泡,氯化鈉水溶液滴上染料，外加互相垂直的電場和磁場後，離子受到和電流方向垂直的勞侖茲力而移動，因黏滯力作用而形成漩渦偶極子；由漩渦偶極子的位置隨時間變化，可得到漩渦偶極子的運動動量通量，進而算出鈉離子和氯離子的電遷移率和(𝜇+ + 𝜇−)。用氫氧化鈉水溶液實驗時，因正離子的電遷移率小於負離子，漩渦偶極子一面移動一面偏轉，由移動的位置隨時間的變化可求得鈉離子和氫氧離子的電遷移率和(𝜇+ + 𝜇−); 由偏轉量可求得兩種離子的電遷移率差(𝜇− − 𝜇+)。用氯化氫水溶液實驗時，漩渦偶極子偏轉方向和前者相反，由偏轉量可求得兩種離子的電遷移率差(𝜇+ − 𝜇−)。霍爾效應實驗可求得離子的電遷移率差，用氯化鈉、氫氧化鈉、氯化氫、氮氣奈米氣泡、和氧氣奈米氣泡水溶液作實驗，和漩渦偶極子法對照比較。
動物學科,同類相食行為的新發現,高音符絲鱉甲蝸牛,同類相食,物質誘發的行為,"同類相食行為廣泛發生於動物界，兩種可能原因：個體的特殊營養需求和族群的汰弱留強策略。觀察雜食性的高音符絲鱉甲蝸牛(Macrochlamys hippocastaneum)，初步發現同類相食行為與蝸殼破裂與否有關，殼完整的個體間不會發生相食行為(100%)，且當破殼程度愈大愈易發生。食性實驗中攝取過植物性養分的個體傾向選擇同類相食(χ2=22.04,***P<0.001)，同時提供同、異類蝸牛內臟時則未顯著選擇同類(χ2=3.76, P=0.053)，因此未能充分支持特殊營養需求。然而，此種蝸牛會追蹤破殼同類分泌之特殊黏液且具顯著趨向性(χ2=13.06, ***P<0.001)，與距離呈負相關(χ2=6.53, *P<0.05)。觀察腹足顯微構造中，發現內有特殊的疏鬆組織與大量分泌細胞，且通往尾端分泌特殊黏液的開口部位。結果證實破殼受傷個體產生的特殊黏液會主動引起同類相食，支持汰弱留強的族群策略，且物質誘發同類相食模式為動物行為研究中首次發現。"
動物學科,眼位變變變-蝌蚪變態前後眼睛型態轉變之研究,無尾兩棲類,眼睛位置,立體視覺,兩棲類是一群可以在水域及陸域棲息生活的動物，幼體期蝌蚪生活在水中，具尾巴可四處游動，多數為濾食或刮食，但變態後的成體青蛙主要生活在陸地，吐出長舌捕食會動的生物。因此蝌蚪變態前後不僅生存環境大為改變，攝食行為也從被動取食轉為主動攻擊，所以推測牠們在變態過程中，眼睛位置會有所變化，形成更大的雙眼(立體)視覺區，適應變態前後的劇烈改變。本研究運用向量幾何作圖方式，將頭部眼睛位置座標數值化後，分析不同蝌蚪變態前後眼睛位置與雙眼視覺的變化情形，試著找出變化趨勢與棲地、行為或演化之間的關聯性。結果發現不同眼睛類型的蝌蚪在變態過程中，眼睛位置會有不同的轉變過程，但變態之後，眼睛皆會往頭部兩側移動，眼睛至吻端的距離變短，導致雙眼視覺區變大，更具立體視覺，可精準判斷獵物位置。此外也發現蝌蚪視野範圍主要受水層高低影響，高水層蝌蚪眼睛位於頭兩側，低水層蝌蚪眼睛則生長在背部。成蛙視野範圍影響因素有棲地、行為及親緣關係，棲地分析結果顯示會在水陸兩邊活動的成蛙視野範圍最大。水棲型的福建大頭蛙具有強領域行為，陸棲性黑眶蟾蜍具瞄準捕食行為，故雙眼視覺都較大。同屬於樹蛙科的蛙類雙眼視覺大小的影響因素主要與為活動高度有關，樹棲型樹蛙因需在樹林活動，演化出較大的雙眼視覺，以利判斷空間位置。艾氏、王氏與碧眼樹蛙等親緣關係接近的姊妹種因生殖行為類似，蝌蚪與成蛙都演化出具有相似的眼睛型態。
動物學科,熱休克蛋白 Hspb7 基因表現調控之探討,肌肉發育,MEF2A,熱休克蛋白 B7,小分子熱休克蛋白 B7 (HSPB7，Heat shock protein B7)，又稱心血管熱休克蛋白(cvHsp)。HSPB7 表現於心肌細胞當中也表現在骨骼肌當中。我們可以從再生的肌肉細胞中看到熱休克蛋白 B7 大量的表現，可見其對於損傷的肌肉細胞至關重要。此外，Mef2a(Myocyte-specific enhancer factor 2A) 被發現對於 Hspb7 基因表現有所影響且、屬於 AP-1 (Activated Protein 1) 家族的 c-Jun (Jun proto-oncogene) 和 Fra-2 (Fos-related antigen 2) 被發現影響了肌肉發育和參與了骨骼肌衛星細胞群的調控。本實驗在 HEK-293T 細胞當中將克隆出的 Mef2a、c-Jun、Fra-2 與 Hspb7 上游不同長度且帶有螢火蟲螢光素基因之啟動子進行轉染實驗，並藉由螢光素酶檢測法觀察彼此調控關係。本研究發現，c-Jun、Fra-2 對於 Hspb7 基因表現有抑制的成效而 Mef2a 有增加基因表現的成效。
植物學科,水稻根表鐵膜對植體營養元素吸收的影響,水稻,泌氧,鐵膜,鐵是植物生長的必要營養元素之一，土壤中的鐵含量雖然不低，但受限於含鐵礦物的溶解度使得鐵的有效性低，植物對鐵的吸收因此受限，進而影響人類的鐵攝取量並造成相關的健康問題。欲提高植物對鐵的利用效率，必須先了解植物對其吸收之相關機制，主要關鍵之一為植物根如何改變根圈環境以控制鐵吸收的有效性。本研究以水稻為對象，探討水稻不同根部泌氧能力，對水稻根部鐵膜組成、鐵吸收效率，及其對其他營養元素吸收的影響。我們藉由遺傳篩選方法，選殖出較不易生成鐵膜之突變株(#878)，透過比較野生型與突變株 (#878)水稻生理性狀之差異，發現通氣組織的生成為控制根系泌氧的影響因子；此泌氧能力會使根系周圍的鐵氧化，並於根表形成一層含有鐵氧化物的沉澱 (即鐵膜)；而鐵膜的生成會影響水稻營養元素的吸收，其中鐵膜對陽離子型態的營養元素有較好吸持效果。
